ID,con_count,trials.thisRepN,condition_tool,condition_unce,wins,lose,wins_total,lose_total,points_total_condition,points_total,score,mouse.time,response_time
IG01,1.0,37.0,WAIT,LOWU,118.0,0.0,3670.0,0.0,3670.0,3880.0,1.0,[1.1826155000017025],1192.023799998453
IG01,1.0,38.0,WAIT,LOWU,128.0,105.0,3798.0,0.0,3798.0,4008.0,1.0,[0.9859002999983204],996.1861000010977
IG01,1.0,39.0,WAIT,LOWU,112.0,189.0,3910.0,0.0,3910.0,4120.0,1.0,[1.4822781000002578],1491.8269000009168
IG01,1.0,40.0,WAIT,LOWU,86.0,0.0,3996.0,0.0,3996.0,4206.0,1.0,[1.2162629000013112],1225.8565000011586
IG01,1.0,41.0,WAIT,LOWU,82.0,0.0,4078.0,0.0,4078.0,4288.0,0.6923076923076923,[0.7025689000001876],713.4430000005523
IG01,1.0,42.0,WAIT,LOWU,111.0,0.0,4189.0,0.0,4189.0,4399.0,1.0,[0.950564900002064],959.7701000021771
IG01,1.0,43.0,WAIT,LOWU,105.0,0.0,4294.0,0.0,4294.0,4504.0,1.0,[0.5004493000014918],509.52759999921545
IG01,1.0,44.0,WAIT,LOWU,100.0,114.0,4394.0,0.0,4394.0,4604.0,1.0,[0.5969050000021525],607.6759999996284
IG01,1.0,45.0,WAIT,LOWU,111.0,118.0,4505.0,0.0,4505.0,4715.0,1.0,[0.4822796999978891],492.4256000012392
IG01,1.0,46.0,WAIT,LOWU,105.0,174.0,4610.0,0.0,4610.0,4820.0,1.0,[0.3329679999988002],342.9238999997033
IG01,1.0,47.0,WAIT,LOWU,97.0,186.0,4707.0,0.0,4707.0,4917.0,1.0,[1.0661423999990802],1076.317700000829
IG01,1.0,48.0,WAIT,LOWU,85.0,0.0,4792.0,0.0,4792.0,5002.0,1.0,[0.2502366000007896],259.50730000110343
IG01,1.0,49.0,WAIT,LOWU,112.0,0.0,4904.0,0.0,4904.0,5114.0,1.0,[0.8167515999994066],826.1888999986695
IG01,1.0,50.0,WAIT,LOWU,97.0,0.0,5001.0,0.0,5001.0,5211.0,1.0,[0.3004197000009299],309.7976999997627
IG01,1.0,51.0,WAIT,LOWU,106.0,101.0,5107.0,0.0,5107.0,5317.0,1.0,[0.5158677999970678],525.7920999975177
IG01,1.0,52.0,WAIT,LOWU,101.0,114.0,5208.0,0.0,5208.0,5418.0,1.0,[0.3659111999986635],375.56229999975767
IG01,1.0,53.0,WAIT,LOWU,126.0,135.0,5334.0,0.0,5334.0,5544.0,1.0,[0.7333408999984385],742.897300002398
IG01,1.0,54.0,WAIT,LOWU,124.0,0.0,5458.0,0.0,5458.0,5668.0,1.0,[0.8965833999973256],907.6464999997988
IG01,1.0,55.0,WAIT,LOWU,125.0,164.0,5583.0,0.0,5583.0,5793.0,1.0,[0.5082937000006496],517.3370000011055
IG01,1.0,56.0,WAIT,LOWU,127.0,0.0,5710.0,0.0,5710.0,5920.0,1.0,[1.0486461000000418],1058.3747999990592
IG01,1.0,57.0,WAIT,LOWU,110.0,0.0,5820.0,0.0,5820.0,6030.0,1.0,[0.8311179999982414],841.6266000022879
IG01,1.0,58.0,WAIT,LOWU,102.0,0.0,5922.0,0.0,5922.0,6132.0,1.0,[0.6483249999982945],657.4385999992955
IG01,1.0,59.0,WAIT,LOWU,102.0,123.0,6024.0,0.0,6024.0,6234.0,1.0,[0.5502130999993824],559.4466000002576
IG01,1.0,60.0,WAIT,LOWU,128.0,149.0,6152.0,0.0,6152.0,6362.0,1.0,[0.8162235999989207],825.772699998226
